id,employeeEntityId,name,gender,profileImageUrl,dateOfBirth,placeOfBirth,region,countryOfBirth,zanId,phoneNumber,contactAddress,zssfNumber,payrollNumber,cadre,salaryScale,ministry,department,appointmentType,contractType,recentTitleDate,currentReportingOffice,currentWorkplace,employmentDate,confirmationDate,retirementDate,status,ardhilHaliUrl,confirmationLetterUrl,jobContractUrl,birthCertificateUrl,institutionId
emp_010,emp_entity_10,Mwalimu Fatuma Juma,Female,https://placehold.co/150x150.png?text=MFJ,1988-07-21 21:00:00,Wete,Kaskazini Unguja,Tanzania,1908850100,0777-590498,"P.O. Box 5427, Bububu, Zanzibar",ZSSF010,PAY0010,Education Officer,ZPS 4.2,WIZARA YA ELIMU NA MAFUNZO YA AMALI,Curriculum,Permanent,Full-time,2000-06-23 21:00:00,Director of Curriculum,Head Office,2000-06-23 21:00:00,2001-06-23 21:00:00,2048-07-21 21:00:00,Confirmed,https://placehold.co/ardhil-hali-10.pdf,https://placehold.co/confirmation-10.pdf,https://placehold.co/contract-10.pdf,https://placehold.co/birth-cert-10.pdf,cmd06nn7r0002e67w8df8thtn
emp_012,emp_entity_12,Halima Said Ali,Female,https://placehold.co/150x150.png?text=HSA,1976-03-18 21:00:00,Wete,Kaskazini Pemba,Tanzania,1910950120,0777-923910,"P.O. Box 6962, Stone Town, Zanzibar",ZSSF012,PAY0012,Assistant Education Officer,ZPS 3.2,WIZARA YA ELIMU NA MAFUNZO YA AMALI,Special Education,Permanent,Full-time,2012-01-11 21:00:00,Director of Special Education,Head Office,2012-01-11 21:00:00,2013-01-10 21:00:00,2036-03-18 21:00:00,Confirmed,https://placehold.co/ardhil-hali-12.pdf,https://placehold.co/confirmation-12.pdf,https://placehold.co/contract-12.pdf,https://placehold.co/birth-cert-12.pdf,cmd06nn7r0002e67w8df8thtn
emp_013,emp_entity_13,Dr. Mwalimu Hassan Omar,Male,https://placehold.co/150x150.png?text=DMHO,1965-02-15 21:00:00,Mkoani,Kaskazini Unguja,Tanzania,1906700130,0777-966894,"P.O. Box 6948, Mkoani, Zanzibar",ZSSF013,PAY0013,Principal Secretary,ZPS 8.1,WIZARA YA AFYA,Health Policy,Permanent,Full-time,2020-07-15 21:00:00,Director of Health Policy,Head Office,2020-07-15 21:00:00,2021-07-15 21:00:00,2025-02-15 21:00:00,Confirmed,https://placehold.co/ardhil-hali-13.pdf,https://placehold.co/confirmation-13.pdf,https://placehold.co/contract-13.pdf,https://placehold.co/birth-cert-13.pdf,cmd06nn7u0003e67wa4hiyie7
emp_014,emp_entity_14,Dr. Khadija Ali Mohamed,Female,https://placehold.co/150x150.png?text=DKAM,1968-09-08 21:00:00,Stone Town,Kusini Pemba,Tanzania,1907750140,0777-952241,"P.O. Box 1663, Chake Chake, Zanzibar",ZSSF014,PAY0014,Chief Medical Officer,ZPS 7.1,WIZARA YA AFYA,Clinical Services,Permanent,Full-time,2005-06-26 21:00:00,Director of Clinical Services,Head Office,2005-06-26 21:00:00,2006-06-26 21:00:00,2028-09-08 21:00:00,Confirmed,https://placehold.co/ardhil-hali-14.pdf,https://placehold.co/confirmation-14.pdf,https://placehold.co/contract-14.pdf,https://placehold.co/birth-cert-14.pdf,cmd06nn7u0003e67wa4hiyie7
emp_015,emp_entity_15,Daktari Salim Juma Said,Male,https://placehold.co/150x150.png?text=DSJS,1987-01-07 21:00:00,Wete,Kaskazini Unguja,Tanzania,1908800150,0777-712186,"P.O. Box 4457, Mkoani, Zanzibar",ZSSF015,PAY0015,Medical Officer,ZPS 6.2,WIZARA YA AFYA,Public Health,Permanent,Full-time,2011-11-07 21:00:00,Director of Public Health,Head Office,2011-11-07 21:00:00,2012-11-06 21:00:00,2047-01-07 21:00:00,Confirmed,https://placehold.co/ardhil-hali-15.pdf,https://placehold.co/confirmation-15.pdf,https://placehold.co/contract-15.pdf,https://placehold.co/birth-cert-15.pdf,cmd06nn7u0003e67wa4hiyie7
emp_016,emp_entity_16,Nurse Mwanasha Hassan,Female,https://placehold.co/150x150.png?text=NMH,1982-11-15 21:00:00,Vitongoji,Kusini Pemba,Tanzania,1909850160,0777-475107,"P.O. Box 9242, Kizimbani, Zanzibar",ZSSF016,PAY0016,Senior Nursing Officer,ZPS 5.1,WIZARA YA AFYA,Nursing Services,Permanent,Full-time,2007-03-13 21:00:00,Director of Nursing Services,Head Office,2007-03-13 21:00:00,2008-03-12 21:00:00,2042-11-15 21:00:00,Confirmed,https://placehold.co/ardhil-hali-16.pdf,https://placehold.co/confirmation-16.pdf,https://placehold.co/contract-16.pdf,https://placehold.co/birth-cert-16.pdf,cmd06nn7u0003e67wa4hiyie7
emp_017,emp_entity_17,Pharmacist Ahmed Ali,Male,https://placehold.co/150x150.png?text=PAA,1972-07-03 21:00:00,Kizimbani,Kusini Unguja,Tanzania,1910900170,0777-717241,"P.O. Box 1300, Chake Chake, Zanzibar",ZSSF017,PAY0017,Principal Pharmacist,ZPS 5.2,WIZARA YA AFYA,Pharmacy,Permanent,Full-time,2003-11-06 21:00:00,Director of Pharmacy,Head Office,2003-11-06 21:00:00,2004-11-05 21:00:00,2032-07-03 21:00:00,Confirmed,https://placehold.co/ardhil-hali-17.pdf,https://placehold.co/confirmation-17.pdf,https://placehold.co/contract-17.pdf,https://placehold.co/birth-cert-17.pdf,cmd06nn7u0003e67wa4hiyie7
emp_018,emp_entity_18,Fatma Khamis Omar,Female,https://placehold.co/150x150.png?text=FKO,1981-10-24 21:00:00,Mkoani,Kusini Pemba,Tanzania,1911950180,0777-855658,"P.O. Box 9574, Kizimbani, Zanzibar",ZSSF018,PAY0018,Health Officer,ZPS 4.1,WIZARA YA AFYA,Health Promotion,Permanent,Full-time,2004-12-14 21:00:00,Director of Health Promotion,Head Office,2004-12-14 21:00:00,,2041-10-24 21:00:00,On Probation,https://placehold.co/ardhil-hali-18.pdf,,https://placehold.co/contract-18.pdf,https://placehold.co/birth-cert-18.pdf,cmd06nn7u0003e67wa4hiyie7
emp_019,emp_entity_19,Mhe. Ali Mohamed Khamis,Male,https://placehold.co/150x150.png?text=MAMK,1978-05-24 21:00:00,Vitongoji,Mjini Magharibi,Tanzania,1905600190,0777-723886,"P.O. Box 3540, Mahonda, Zanzibar",ZSSF019,PAY0019,Commissioner,ZPS 9.1,TUME YA UTUMISHI SERIKALINI,Executive,Permanent,Full-time,2003-12-01 21:00:00,Director of Executive,Head Office,2003-12-01 21:00:00,2004-11-30 21:00:00,2038-05-24 21:00:00,Confirmed,https://placehold.co/ardhil-hali-19.pdf,https://placehold.co/confirmation-19.pdf,https://placehold.co/contract-19.pdf,https://placehold.co/birth-cert-19.pdf,cmd059ion0000e6d85kexfukl
emp_021,emp_entity_21,Mwalimu Hassan Juma,Male,https://placehold.co/150x150.png?text=MHJ,1985-08-31 21:00:00,Mahonda,Mjini Magharibi,Tanzania,1907700210,0777-157936,"P.O. Box 4615, Chake Chake, Zanzibar",ZSSF021,PAY0021,Director of HR,ZPS 6.1,TUME YA UTUMISHI SERIKALINI,Human Resources,Permanent,Full-time,2002-10-31 21:00:00,Director of Human Resources,Head Office,2002-10-31 21:00:00,2003-10-31 21:00:00,2045-08-31 21:00:00,Confirmed,https://placehold.co/ardhil-hali-21.pdf,https://placehold.co/confirmation-21.pdf,https://placehold.co/contract-21.pdf,https://placehold.co/birth-cert-21.pdf,cmd059ion0000e6d85kexfukl
emp_022,emp_entity_22,Zeinab Ali Hassan,Female,https://placehold.co/150x150.png?text=ZAH,1971-05-10 21:00:00,Kizimbani,Kusini Pemba,Tanzania,1908750220,0777-553238,"P.O. Box 6048, Stone Town, Zanzibar",ZSSF022,PAY0022,Legal Officer,ZPS 5.2,TUME YA UTUMISHI SERIKALINI,Legal Affairs,Permanent,Full-time,2016-01-10 21:00:00,Director of Legal Affairs,Head Office,2016-01-10 21:00:00,2017-01-09 21:00:00,2031-05-10 21:00:00,Confirmed,https://placehold.co/ardhil-hali-22.pdf,https://placehold.co/confirmation-22.pdf,https://placehold.co/contract-22.pdf,https://placehold.co/birth-cert-22.pdf,cmd059ion0000e6d85kexfukl
emp_023,emp_entity_23,Dr. Juma Ali Khamis,Male,https://placehold.co/150x150.png?text=DJAK,1960-05-13 21:00:00,Bububu,Kusini Unguja,Tanzania,1905750230,0777-964707,"P.O. Box 2269, Mahonda, Zanzibar",ZSSF023,PAY0023,Principal Secretary,ZPS 8.1,WIZARA YA KILIMO UMWAGILIAJI MALIASILI NA MIFUGO,Policy,Permanent,Full-time,2014-11-19 21:00:00,Director of Policy,Head Office,2014-11-19 21:00:00,2015-11-19 21:00:00,2020-05-13 21:00:00,Confirmed,https://placehold.co/ardhil-hali-23.pdf,https://placehold.co/confirmation-23.pdf,https://placehold.co/contract-23.pdf,https://placehold.co/birth-cert-23.pdf,cmd06xe34000he6bqfdqiw9ll
emp_025,emp_entity_25,Veterinarian Ahmed Hassan,Male,https://placehold.co/150x150.png?text=VAH,1964-06-04 21:00:00,Vitongoji,Mjini Magharibi,Tanzania,1907850250,0777-498768,"P.O. Box 6167, Kizimbani, Zanzibar",ZSSF025,PAY0025,Chief Veterinary Officer,ZPS 6.2,WIZARA YA KILIMO UMWAGILIAJI MALIASILI NA MIFUGO,Animal Health,Permanent,Full-time,2013-08-01 21:00:00,Director of Animal Health,Head Office,2013-08-01 21:00:00,2014-08-01 21:00:00,2024-06-04 21:00:00,Confirmed,https://placehold.co/ardhil-hali-25.pdf,https://placehold.co/confirmation-25.pdf,https://placehold.co/contract-25.pdf,https://placehold.co/birth-cert-25.pdf,cmd06xe34000he6bqfdqiw9ll
emp_026,emp_entity_26,Mwanasha Juma Omar,Female,https://placehold.co/150x150.png?text=MJO,1985-09-25 21:00:00,Mahonda,Mjini Magharibi,Tanzania,1908900260,0777-310622,"P.O. Box 4079, Chake Chake, Zanzibar",ZSSF026,PAY0026,Agricultural Officer,ZPS 4.2,WIZARA YA KILIMO UMWAGILIAJI MALIASILI NA MIFUGO,Extension Services,Permanent,Full-time,2004-03-24 21:00:00,Director of Extension Services,Head Office,2004-03-24 21:00:00,2005-03-24 21:00:00,2045-09-25 21:00:00,Confirmed,https://placehold.co/ardhil-hali-26.pdf,https://placehold.co/confirmation-26.pdf,https://placehold.co/contract-26.pdf,https://placehold.co/birth-cert-26.pdf,cmd06xe34000he6bqfdqiw9ll
emp_027,emp_entity_27,Engineer Said Hassan,Male,https://placehold.co/150x150.png?text=ESH,1965-12-09 21:00:00,Mahonda,Mjini Magharibi,Tanzania,1905820270,0777-310232,"P.O. Box 5981, Vitongoji, Zanzibar",ZSSF027,PAY0027,Principal Secretary,ZPS 8.1,WIZARA YA UJENZI MAWASILIANO NA UCHUKUZI,Infrastructure,Permanent,Full-time,2022-06-13 21:00:00,Director of Infrastructure,Head Office,2022-06-13 21:00:00,2023-06-13 21:00:00,2025-12-09 21:00:00,Confirmed,https://placehold.co/ardhil-hali-27.pdf,https://placehold.co/confirmation-27.pdf,https://placehold.co/contract-27.pdf,https://placehold.co/birth-cert-27.pdf,cmd06xe37000ie6bq43r62ea6
emp_028,emp_entity_28,Engineer Amina Ali,Female,https://placehold.co/150x150.png?text=EAA,1975-02-03 21:00:00,Mahonda,Kusini Pemba,Tanzania,1906870280,0777-680813,"P.O. Box 6060, Kizimbani, Zanzibar",ZSSF028,PAY0028,Chief Engineer,ZPS 6.2,WIZARA YA UJENZI MAWASILIANO NA UCHUKUZI,Roads,Permanent,Full-time,2019-02-12 21:00:00,Director of Roads,Head Office,2019-02-12 21:00:00,2020-02-12 21:00:00,2035-02-03 21:00:00,Confirmed,https://placehold.co/ardhil-hali-28.pdf,https://placehold.co/confirmation-28.pdf,https://placehold.co/contract-28.pdf,https://placehold.co/birth-cert-28.pdf,cmd06xe37000ie6bq43r62ea6
emp_029,emp_entity_29,Architect Omar Juma,Male,https://placehold.co/150x150.png?text=AOJ,1966-08-10 21:00:00,Stone Town,Kusini Pemba,Tanzania,1907920290,0777-740540,"P.O. Box 1076, Vitongoji, Zanzibar",ZSSF029,PAY0029,Senior Architect,ZPS 5.2,WIZARA YA UJENZI MAWASILIANO NA UCHUKUZI,Building,Permanent,Full-time,2016-01-08 21:00:00,Director of Building,Head Office,2016-01-08 21:00:00,2017-01-07 21:00:00,2026-08-10 21:00:00,Confirmed,https://placehold.co/ardhil-hali-29.pdf,https://placehold.co/confirmation-29.pdf,https://placehold.co/contract-29.pdf,https://placehold.co/birth-cert-29.pdf,cmd06xe37000ie6bq43r62ea6
emp_030,emp_entity_30,Surveyor Mwanajuma Hassan,Female,https://placehold.co/150x150.png?text=SMH,1981-02-20 21:00:00,Mkoani,Kaskazini Pemba,Tanzania,1908970300,0777-776629,"P.O. Box 9140, Bububu, Zanzibar",ZSSF030,PAY0030,Senior Surveyor,ZPS 5.1,WIZARA YA UJENZI MAWASILIANO NA UCHUKUZI,Survey,Permanent,Full-time,2011-01-24 21:00:00,Director of Survey,Head Office,2011-01-24 21:00:00,2012-01-24 21:00:00,2041-02-20 21:00:00,Confirmed,https://placehold.co/ardhil-hali-30.pdf,https://placehold.co/confirmation-30.pdf,https://placehold.co/contract-30.pdf,https://placehold.co/birth-cert-30.pdf,cmd06xe37000ie6bq43r62ea6
emp_031,emp_entity_31,Mwalimu Hassan Said,Male,https://placehold.co/150x150.png?text=MHS,1970-10-20 21:00:00,Chake Chake,Kaskazini Pemba,Tanzania,1905840310,0777-295018,"P.O. Box 7965, Kizimbani, Zanzibar",ZSSF031,PAY0031,Principal Secretary,ZPS 8.1,WIZARA YA UTALII NA MAMBO YA KALE,Tourism Policy,Permanent,Full-time,2009-01-31 21:00:00,Director of Tourism Policy,Head Office,2009-01-31 21:00:00,2010-01-31 21:00:00,2030-10-20 21:00:00,Confirmed,https://placehold.co/ardhil-hali-31.pdf,https://placehold.co/confirmation-31.pdf,https://placehold.co/contract-31.pdf,https://placehold.co/birth-cert-31.pdf,cmd06xe40000ve6bqrip9e4m6
emp_032,emp_entity_32,Dr. Fatma Juma Ali,Female,https://placehold.co/150x150.png?text=DFJA,1987-11-26 21:00:00,Vitongoji,Kusini Unguja,Tanzania,1906890320,0777-936850,"P.O. Box 9878, Vitongoji, Zanzibar",ZSSF032,PAY0032,Director of Tourism,ZPS 6.1,WIZARA YA UTALII NA MAMBO YA KALE,Tourism Development,Permanent,Full-time,2006-05-16 21:00:00,Director of Tourism Development,Head Office,2006-05-16 21:00:00,2007-05-16 21:00:00,2047-11-26 21:00:00,Confirmed,https://placehold.co/ardhil-hali-32.pdf,https://placehold.co/confirmation-32.pdf,https://placehold.co/contract-32.pdf,https://placehold.co/birth-cert-32.pdf,cmd06xe40000ve6bqrip9e4m6
emp_033,emp_entity_33,Ahmed Omar Hassan,Male,https://placehold.co/150x150.png?text=AOH,1962-02-18 21:00:00,Stone Town,Kaskazini Pemba,Tanzania,1907940330,0777-778886,"P.O. Box 1079, Wete, Zanzibar",ZSSF033,PAY0033,Tourism Officer,ZPS 4.2,WIZARA YA UTALII NA MAMBO YA KALE,Heritage,Permanent,Full-time,2003-06-03 21:00:00,Director of Heritage,Head Office,2003-06-03 21:00:00,2004-06-02 21:00:00,2022-02-18 21:00:00,Confirmed,https://placehold.co/ardhil-hali-33.pdf,https://placehold.co/confirmation-33.pdf,https://placehold.co/contract-33.pdf,https://placehold.co/birth-cert-33.pdf,cmd06xe40000ve6bqrip9e4m6
emp_034,emp_entity_34,Engineer Ali Hassan,Male,https://placehold.co/150x150.png?text=EAH,1975-05-12 21:00:00,Stone Town,Kusini Pemba,Tanzania,1905860340,0777-378202,"P.O. Box 6175, Mkoani, Zanzibar",ZSSF034,PAY0034,Principal Secretary,ZPS 8.1,WIZARA YA MAJI NISHATI NA MADINI,Water Policy,Permanent,Full-time,2014-01-18 21:00:00,Director of Water Policy,Head Office,2014-01-18 21:00:00,2015-01-18 21:00:00,2035-05-12 21:00:00,Confirmed,https://placehold.co/ardhil-hali-34.pdf,https://placehold.co/confirmation-34.pdf,https://placehold.co/contract-34.pdf,https://placehold.co/birth-cert-34.pdf,cmd06xe4g0012e6bqou5f9gur
emp_035,emp_entity_35,Engineer Zeinab Omar,Female,https://placehold.co/150x150.png?text=EZO,1971-10-20 21:00:00,Stone Town,Kaskazini Pemba,Tanzania,1906910350,0777-479265,"P.O. Box 9392, Stone Town, Zanzibar",ZSSF035,PAY0035,Director of Water,ZPS 6.1,WIZARA YA MAJI NISHATI NA MADINI,Water Supply,Permanent,Full-time,2021-03-25 21:00:00,Director of Water Supply,Head Office,2021-03-25 21:00:00,2022-03-25 21:00:00,2031-10-20 21:00:00,Confirmed,https://placehold.co/ardhil-hali-35.pdf,https://placehold.co/confirmation-35.pdf,https://placehold.co/contract-35.pdf,https://placehold.co/birth-cert-35.pdf,cmd06xe4g0012e6bqou5f9gur
emp_036,emp_entity_36,Technician Said Ali,Male,https://placehold.co/150x150.png?text=TSA,1980-01-06 21:00:00,Mkoani,Kaskazini Unguja,Tanzania,1907960360,0777-722924,"P.O. Box 8708, Mahonda, Zanzibar",ZSSF036,PAY0036,Senior Technician,ZPS 4.2,WIZARA YA MAJI NISHATI NA MADINI,Energy,Permanent,Full-time,2016-04-12 21:00:00,Director of Energy,Head Office,2016-04-12 21:00:00,2017-04-12 21:00:00,2040-01-06 21:00:00,Confirmed,https://placehold.co/ardhil-hali-36.pdf,https://placehold.co/confirmation-36.pdf,https://placehold.co/contract-36.pdf,https://placehold.co/birth-cert-36.pdf,cmd06xe4g0012e6bqou5f9gur
emp_038,emp_entity_38,MBA Mwanasha Said,Female,https://placehold.co/150x150.png?text=MMS,1988-04-22 21:00:00,Stone Town,Kaskazini Pemba,Tanzania,1906930380,0777-597484,"P.O. Box 9943, Kizimbani, Zanzibar",ZSSF038,PAY0038,Director of Industry,ZPS 6.1,WIZARA YA BIASHARA NA MAENDELEO YA VIWANDA,Industrial Development,Permanent,Full-time,2009-06-22 21:00:00,Director of Industrial Development,Head Office,2009-06-22 21:00:00,2010-06-22 21:00:00,2048-04-22 21:00:00,Confirmed,https://placehold.co/ardhil-hali-38.pdf,https://placehold.co/confirmation-38.pdf,https://placehold.co/contract-38.pdf,https://placehold.co/birth-cert-38.pdf,cmd06xe3b000ke6bqxuwovzub
emp_039,emp_entity_39,Trade Officer Ahmed,Male,https://placehold.co/150x150.png?text=TOA,1963-09-05 21:00:00,Wete,Mjini Magharibi,Tanzania,1907980390,0777-719203,"P.O. Box 8576, Wete, Zanzibar",ZSSF039,PAY0039,Trade Officer,ZPS 4.2,WIZARA YA BIASHARA NA MAENDELEO YA VIWANDA,Export Promotion,Permanent,Full-time,2012-01-23 21:00:00,Director of Export Promotion,Head Office,2012-01-23 21:00:00,,2023-09-05 21:00:00,On Probation,https://placehold.co/ardhil-hali-39.pdf,,https://placehold.co/contract-39.pdf,https://placehold.co/birth-cert-39.pdf,cmd06xe3b000ke6bqxuwovzub
emp_040,emp_entity_40,Surveyor Hassan Ali,Male,https://placehold.co/150x150.png?text=SHA,1968-10-02 21:00:00,Kizimbani,Kaskazini Pemba,Tanzania,1905900400,0777-955288,"P.O. Box 6361, Wete, Zanzibar",ZSSF040,PAY0040,Principal Secretary,ZPS 8.1,WIZARA YA ARDHI NA MAENDELEO YA MAKAAZI ZANZIBAR,Land Policy,Permanent,Full-time,2022-04-12 21:00:00,Director of Land Policy,Head Office,2022-04-12 21:00:00,2023-04-12 21:00:00,2028-10-02 21:00:00,Confirmed,https://placehold.co/ardhil-hali-40.pdf,https://placehold.co/confirmation-40.pdf,https://placehold.co/contract-40.pdf,https://placehold.co/birth-cert-40.pdf,cmd06xe3y000ue6bqzqkztrsa
emp_041,emp_entity_41,Architect Fatma Hassan,Female,https://placehold.co/150x150.png?text=AFH,1973-01-01 21:00:00,Kizimbani,Kusini Unguja,Tanzania,1906950410,0777-774735,"P.O. Box 5022, Stone Town, Zanzibar",ZSSF041,PAY0041,Director of Housing,ZPS 6.1,WIZARA YA ARDHI NA MAENDELEO YA MAKAAZI ZANZIBAR,Housing Development,Permanent,Full-time,2019-07-22 21:00:00,Director of Housing Development,Head Office,2019-07-22 21:00:00,2020-07-21 21:00:00,2033-01-01 21:00:00,Confirmed,https://placehold.co/ardhil-hali-41.pdf,https://placehold.co/confirmation-41.pdf,https://placehold.co/contract-41.pdf,https://placehold.co/birth-cert-41.pdf,cmd06xe3y000ue6bqzqkztrsa
